"Report Title","Publishers Name","Publishers Location","Industry","Geography","Price in USD","URL","Publish Date","Number of pages"
"A Guidebook of Registration Application for Imported Chemical Drugs
China Pharmaceutical Guidebook Series (2) (3rd edition)","Access China","China","Pharma &amp; Healthcare","All",751,"http://www.reportbuyer.com/pharma_healthcare/regulation_policy/material_clinical_trial_requirements_application_approval_imported_drug_registration_a_guidebook_registration_application_imported_chemical_drugs.html","Published on 02-Feb-2011",144
"A Guidebook of Registration Application for Imported Traditional Chinese Medicines and Natural Medicines
China Pharmaceutical Guidebook Series (3) (3rd edition)","Access China","China","Pharma &amp; Healthcare","All",751,"http://www.reportbuyer.com/pharma_healthcare/regulation_policy/material_clinical_trial_requirements_application_approval_imported_drug_registration_a_guidebook_registration_application_imported_traditional_chinese_medicines_natural_medicines.html","Published on 02-Feb-2011",139
"A Guidebook of Registration Application for Imported Biological Products
China Pharmaceutical Guidebook Series (4) (3rd edition)","Access China","China","Pharma &amp; Healthcare","All",751,"http://www.reportbuyer.com/pharma_healthcare/regulation_policy/material_clinical_trial_requirements_application_approval_imported_drug_registration_guidebook_registration_application_imported_biological_products.html","Published on 02-Feb-2011",182
"A Guide to Mergers and Acquisitions in China","Access China","China","Business &amp; Government","China",203,"http://www.reportbuyer.com/business_government/misc_business_services/guide_mergers_acquisitions_china.html","Published on 02-Feb-2011",82
"China's Guidebook for Pharmaceutical Patent Protection","Access China","China","Pharma &amp; Healthcare","All",1494,"http://www.reportbuyer.com/pharma_healthcare/regulation_policy/patents/chinas_guidebook_pharmaceutical_patent_protection.html","Published on 02-Feb-2011",160
"Chinese Pharmaceutical Industry - Access China","Access China","China","Pharma &amp; Healthcare","China",242,"http://www.reportbuyer.com/pharma_healthcare/country_reports_pharmaceutical/chinese_pharmaceutical_industry_access_china.html","Published on 01-Jan-2006",41
"Collection of Chinese Laws and Administrative Regulations for Application and Approval of Establishment Registration for Foreign Investment Enterprises","Access China","China","Banking & Finance","All",2003,"http://www.reportbuyer.com/banking_finance/investments/collection_chinese_laws_administrative_regulations_application_approval_establishment_registration_foreign_investment_enterprises.html","Published on 02-Sep-2011",410
"Invest in China: A Guidebook for Application and Approval of Establishment Registration for Foreign Investment Enterprises","Access China","China","Banking & Finance","All",2003,"http://www.reportbuyer.com/banking_finance/investments/invest_china_guidebook_application_approval_establishment_registration_foreign_investment_enterprises.html","Published on 01-Sep-2011",194
"The Demand for Office Furniture in the USA","Aktrin","Oakville, Canada","Business &amp; Government","United States",782,"http://www.reportbuyer.com/business_government/office_equipment/office_furniture/demand_office_furniture_usa.html","Published on 01-Nov-2006",57
"UK Market for Leather Upholstery","Aktrin","Oakville, Canada","Consumer Goods & Retail","United Kingdom",649,"http://www.reportbuyer.com/consumer_goods_retail/home_garden/furniture/uk_market_leather_upholstery.html","Published on 01-Aug-2006",69
"UK Market for Beds and Bedding","Aktrin","Oakville, Canada","Consumer Goods & Retail","United Kingdom",422,"http://www.reportbuyer.com/consumer_goods_retail/home_garden/furniture/uk_market_beds_bedding.html","Published on 01-Mar-2007",41
"Review of the UK Domestic Furniture Industry","Aktrin","Oakville, Canada","Consumer Goods & Retail","United Kingdom",720,"http://www.reportbuyer.com/consumer_goods_retail/home_garden/furniture/review_uk_domestic_furniture_industry.html","Published on 01-Jan-2007",69
"Employment and Wages in the Canadian Furniture Industry","Aktrin","Oakville, Canada","Consumer Goods & Retail","All",782,"http://www.reportbuyer.com/consumer_goods_retail/home_garden/furniture/employment_wages_canadian_furniture_industry.html","Published on 01-Feb-2007",55
"UK Market for Motion Upholstery 2007","Aktrin","Oakville, Canada","Industry & Manufacturing","United Kingdom",422,"http://www.reportbuyer.com/industry_manufacturing/textiles/uk_market_motion_upholstery_2007.html","Published on 01-Mar-2007",36
"Employment Conditions in the US Furniture Sector","Aktrin","Oakville, Canada","Industry & Manufacturing","United States",4398,"http://www.reportbuyer.com/industry_manufacturing/misc_industry_manufacturing/employment_conditions_us_furniture_sector.html","Published on 01-May-2007",55
"Canadian Demand for Household Furniture and Trends","Aktrin","Oakville, Canada","Consumer Goods & Retail","All",782,"http://www.reportbuyer.com/consumer_goods_retail/home_garden/furniture/canadian_demand_household_furniture_trends.html","Published on 01-Jun-2007",50
"American Furniture Standards","Aktrin","Oakville, Canada","Industry & Manufacturing","All",3396,"http://www.reportbuyer.com/industry_manufacturing/misc_industry_manufacturing/american_furniture_standards.html","Published on 01-Jul-2007",140
"UK Market for Kitchen Furniture 2007","Aktrin","Oakville, Canada","Consumer Goods & Retail","United Kingdom",720,"http://www.reportbuyer.com/consumer_goods_retail/home_garden/bathroom_kitchen/uk_market_kitchen_furniture_2007.html","Published on 01-Jun-2007",70
"Office Furniture Consumption in Canada and Forecast to 2016","Aktrin","Oakville, Canada","Business &amp; Government","Canada",782,"http://www.reportbuyer.com/business_government/office_equipment/office_furniture/office_furniture_consumption_canada_forecast_2016.html","Published on 01-Aug-2007",58
"American Demand for Office Furniture","Aktrin","Oakville, Canada","Business &amp; Government","All",782,"http://www.reportbuyer.com/business_government/office_equipment/office_furniture/american_demand_office_furniture.html","Published on 02-Apr-2008",57
"UK Market for Upholstered Furniture","Aktrin","Oakville, Canada","Consumer Goods & Retail","United Kingdom",673,"http://www.reportbuyer.com/consumer_goods_retail/home_garden/furniture/uk_market_upholstered_furniture_1.html","Published on 07-Jul-2006",70
"IMS, What,Why and When?","ARCchart","United Kingdom","Telecoms","All",3122,"http://www.reportbuyer.com/telecoms/misc_telecoms/ims_what_why_when.html","Published on 01-Aug-2005",80
"Global 3G Landscape 2006","ARCchart","United Kingdom","Telecoms","All",0,"http://www.reportbuyer.com/telecoms/3g_wimax/global_3g_landscape_2006.html","Published on 01-Jan-2006",
"Global BWA Operators Wall chart","ARCchart","United Kingdom","Telecoms","All",0,"http://www.reportbuyer.com/telecoms/mobile_markets/global_bwa_operators_wall_chart.html","Published on 01-Oct-2006",
"Global CDMA Landscape Wall chart","ARCchart","United Kingdom","Telecoms","All",0,"http://www.reportbuyer.com/telecoms/mobile_markets/global_cdma_landscape_wall_chart.html","Published on 01-Feb-2005",
"Global Wi-Fi Hotspot Operators Wallchart","ARCchart","United Kingdom","Telecoms","All",0,"http://www.reportbuyer.com/telecoms/wireless_telecoms/global_wi_fi_hotspot_operators_wallchart.html","Published on 01-Apr-2006",
"Chinese Wireless Landscape Wall chart 2005","ARCchart","United Kingdom","Telecoms","All",0,"http://www.reportbuyer.com/telecoms/wireless_telecoms/chinese_wireless_landscape_wall_chart_2005.html","Published on 01-Jun-2005",
" Africa, Middle East &amp; Russian Wireless Landscape","ARCchart","United Kingdom","Telecoms","All",0,"http://www.reportbuyer.com/telecoms/wireless_telecoms/africa_middle_east_russian_wireless_landscape_2010.html","Published on 01-Mar-2011",
" Asian Wireless Landscape","ARCchart","United Kingdom","Telecoms","All",0,"http://www.reportbuyer.com/telecoms/wireless_telecoms/asian_wireless_landscape_2010.html","Published on 01-Mar-2011",
"Global Mobile Communications 2010 ","ARCchart","United Kingdom","Telecoms","All",0,"http://www.reportbuyer.com/telecoms/mobile_markets/global_mobile_communications_2010.html","Published on 01-Jan-2010",
"VCs in Wireless Wall chart 2006","ARCchart","United Kingdom","Telecoms","All",0,"http://www.reportbuyer.com/telecoms/wireless_telecoms/vcs_wireless_wall_chart_2006.html","Published on 01-Oct-2005",
"Global GSM Landscape Wall chart 2005","ARCchart","United Kingdom","Telecoms","All",0,"http://www.reportbuyer.com/telecoms/wireless_telecoms/global_gsm_landscape_wall_chart_2005.html","Published on 01-Feb-2005",
"Global MVNO 2006","ARCchart","United Kingdom","Telecoms","All",0,"http://www.reportbuyer.com/telecoms/mobile_markets/global_mvno_2006.html","Published on 01-Apr-2006",
"Ultra Wideband: Will it Rule The Wireless PAN?,","ARCchart","United Kingdom","Telecoms","All",320,"http://www.reportbuyer.com/telecoms/wireless_telecoms/ultra_wideband_will_rule_wireless_pan_.html","Published on 01-May-2006",60
"Metrozones Report","ARCchart","United Kingdom","Telecoms","All",320,"http://www.reportbuyer.com/telecoms/wireless_telecoms/metrozones_report.html","Published on 17-Mar-2006",90
"New Age of Handset Customisation 2006-2011","ARCchart","United Kingdom","Telecoms","All",6253,"http://www.reportbuyer.com/telecoms/mobile/smartphones/new_age_handset_customisation_2006_2011.html","Published on 14-Mar-2006",198
"Handset Proximity Payments","ARCchart","United Kingdom","Telecoms","All",4688,"http://www.reportbuyer.com/telecoms/mobile/smartphones/handset_proximity_payments.html","Published on 13-Mar-2006",131
"Wireless Landscape Wallcharts","ARCchart","United Kingdom","Telecoms","All",0,"http://www.reportbuyer.com/telecoms/wireless_telecoms/wireless_landscape_wallcharts.html","Published on 01-Mar-2011",
"Femtocells Reality Check","ARCchart","United Kingdom","Telecoms","All",4688,"http://www.reportbuyer.com/telecoms/3g_wimax/femtocells_reality_check.html","Published on 01-Jan-2009",84
" European Wireless Landscape ","ARCchart","United Kingdom","Telecoms","All",0,"http://www.reportbuyer.com/telecoms/wireless_telecoms/european_wireless_landscape_2010.html","Published on 01-Mar-2011",0
"Americas Wireless Landscape","ARCchart","United Kingdom","Telecoms","All",0,"http://www.reportbuyer.com/telecoms/wireless_telecoms/americas_wireless_landscape_2010.html","Published on 01-Mar-2011",0
"Mobile Data Modules: Powering the Market for Mobile Internet Peripherals and Devices","ARCchart","United Kingdom","Telecoms","All",4688,"http://www.reportbuyer.com/telecoms/wireless_telecoms/mobile_data_modules_powering_market_mobile_internet_peripherals_devices.html","Published on 15-Sep-2008",91
"Mobile Widget Platforms","ARCchart","United Kingdom","Telecoms","All",2183,"http://www.reportbuyer.com/telecoms/mobile_content_apps/mobile_widget_platforms.html","Published on 30-Jul-2009",89
"Global WiMAX Landscape 2009","ARCchart","United Kingdom","Telecoms","All",0,"http://www.reportbuyer.com/telecoms/3g_wimax/global_wimax_landscape_2009.html","Published on 01-May-2009",
"The Mobile Broadband Performance of Carrier Networks","ARCchart","United Kingdom","Telecoms","All",3122,"http://www.reportbuyer.com/telecoms/broadband/mobile_broadband_performance_carrier_networks.html","Published on 09-Sep-2009",149
"Phonebook 2.0: The Next Generation Mobile Address Book","ARCchart","United Kingdom","Telecoms","All",2183,"http://www.reportbuyer.com/telecoms/mobile_markets/phonebook_2_0_next_generation_mobile_address_book.html","Published on 01-Jan-2010",52
"Mobile Patents and Intellectual Property Rights","ARCchart","United Kingdom","Telecoms","All",2340,"http://www.reportbuyer.com/telecoms/telecoms_regulation/mobile_patents_intellectual_property_rights.html","Published on 03-Mar-2010",100
"Mobile Phone Sensors and Sensory Interfaces","ARCchart","United Kingdom","Telecoms","All",2340,"http://www.reportbuyer.com/telecoms/mobile_markets/mobile_phone_sensors_sensory_interfaces.html","Published on 06-Jun-2010",90
"Mobile Phone Keypads and Keyboards","ARCchart","United Kingdom","Telecoms","All",2340,"http://www.reportbuyer.com/telecoms/mobile_markets/mobile_phone_keypads_keyboards.html","Published on 07-Jul-2010",49
"Next Generation Haptics","ARCchart","United Kingdom","Computing & Electronics","All",2340,"http://www.reportbuyer.com/computing_electronics/specialised_computer_systems/next_generation_haptics.html","Published on 01-Feb-2011",39
"Innovations and Trends in Clinical Trials","Arrowhead","United States","Pharma &amp; Healthcare","All",2246,"http://www.reportbuyer.com/pharma_healthcare/research_r_d/clinical_trials/innovations_trends_clinical_trials.html","Published on 08-Mar-2007",149
"Outsourcing Clinical Trials","Arrowhead","United States","Pharma &amp; Healthcare","All",2997,"http://www.reportbuyer.com/pharma_healthcare/research_r_d/clinical_trials/outsourcing_clinical_trials.html","Published on 01-May-2007",215
"The Global Antivirals Market","Arrowhead","United States","Pharma &amp; Healthcare","All",2496,"http://www.reportbuyer.com/pharma_healthcare/prescription_drugs/global_antivirals_market.html","Published on 17-May-2007",186
"Drug Delivery Technologies","Arrowhead","United States","Pharma &amp; Healthcare","All",3498,"http://www.reportbuyer.com/pharma_healthcare/drug_delivery/drug_delivery_technologies.html","Published on 09-Sep-2008",283
"Strategies for Innovation in Pharmaceutical R&D","Arrowhead","United States","Pharma &amp; Healthcare","All",751,"http://www.reportbuyer.com/pharma_healthcare/research_r_d/strategies_innovation_pharmaceutical_r_d.html","Published on 22-Mar-2005",213
"Rheumatoid Arthritis: Market Trends and R&amp;D Insights","Arrowhead","United States","Pharma &amp; Healthcare","All",1252,"http://www.reportbuyer.com/pharma_healthcare/diseases/rheumatoid_arthritis_market_trends_r_amp_d_insights.html","Published on 25-Sep-2006",95
"Prescribing Data Restriction Program (PDRP), The","Arrowhead","United States","Pharma &amp; Healthcare","All",1502,"http://www.reportbuyer.com/pharma_healthcare/regulation_policy/prescribing_data_restriction_program_pdrp_.html","Published on 14-Sep-2006",0
"The Global Pain Therapeutics Market","Arrowhead","United States","Pharma &amp; Healthcare","All",1753,"http://www.reportbuyer.com/pharma_healthcare/diseases/pain/global_pain_therapeutics_market.html","Published on 22-Nov-2010",400
"Pharmaceutical Pricing, Reimbursement and Parallel Trade 2006","Arrowhead","United States","Pharma &amp; Healthcare","All",1995,"http://www.reportbuyer.com/pharma_healthcare/regulation_policy/pricing_reimbursement/pharmaceutical_pricing_reimbursement_parallel_trade_2006.html","Published on 01-Mar-2006",209
"Monoclonal Antibody Therapies 2004","Arrowhead","United States","Pharma &amp; Healthcare","All",2246,"http://www.reportbuyer.com/pharma_healthcare/biotechnology/monoclonal_antibody_therapies_2004.html","Published on 01-May-2004",136
"Monoclonal Antibodies 2007","Arrowhead","United States","Pharma &amp; Healthcare","All",2246,"http://www.reportbuyer.com/pharma_healthcare/therapeutic/monoclonal_antibodies_2007.html","Published on 11-Jan-2007",158
"Injectable Drug Delivery: Market Impact and Industry Trends","Arrowhead","United States","Pharma &amp; Healthcare","All",1753,"http://www.reportbuyer.com/pharma_healthcare/drug_delivery/injectable_drug_delivery_market_impact_industry_trends.html","Published on 03-Oct-2006",130
"Global Market and Future Outlook for Neurodegenerative Disorder Therapies 2007, The","Arrowhead","United States","Pharma &amp; Healthcare","All",2246,"http://www.reportbuyer.com/pharma_healthcare/therapeutic/cns_neurology/global_market_future_outlook_neurodegenerative_disorder_therapies_2007.html","Published on 31-Jan-2007",488
"Global Diabetes Market; The","Arrowhead","United States","Pharma &amp; Healthcare","All",2496,"http://www.reportbuyer.com/pharma_healthcare/diseases/diabetes/global_diabetes_market.html","Published on 01-Aug-2006",218
"Cancer Therapeutics","Arrowhead","United States","Pharma &amp; Healthcare","All",3498,"http://www.reportbuyer.com/pharma_healthcare/therapeutic/cancer_therapeutics.html","Published on 08-Aug-2008",318
"US and European Prescription Generic Markets","Arrowhead","United States","Pharma &amp; Healthcare","United States",1502,"http://www.reportbuyer.com/pharma_healthcare/generic_drugs/us_european_prescription_generic_markets.html","Published on 20-Sep-2005",196
"Biotech in Autoimmune and Inflammatory Disease 2006","Arrowhead","United States","Pharma &amp; Healthcare","All",2997,"http://www.reportbuyer.com/pharma_healthcare/biotechnology/biotech_autoimmune_inflammatory_disease_2006.html","Published on 02-May-2006",263
"Biogenerics","Arrowhead","United States","Pharma &amp; Healthcare","All",1001,"http://www.reportbuyer.com/pharma_healthcare/biotechnology/biogenerics.html","Published on 01-Jan-2005",154
"Amgen","Arrowhead","United States","Pharma &amp; Healthcare","All",500,"http://www.reportbuyer.com/pharma_healthcare/company_reports_pharmaceutical/top_50_pharma/amgen.html","Published on 01-Aug-2005",80
"The Global Antibacterials Market","Arrowhead","United States","Pharma &amp; Healthcare","All",2496,"http://www.reportbuyer.com/pharma_healthcare/treatments/global_antibacterials_market.html","Published on 28-Aug-2007",126
" The Global Cancer Vaccine Market","Arrowhead","United States","Pharma &amp; Healthcare","All",2747,"http://www.reportbuyer.com/pharma_healthcare/therapeutic/vaccines/global_cancer_vaccine_market.html","Published on 10-Feb-2011",232
"Global Protein Therapeutics Market, The","Arrowhead","United States","Pharma &amp; Healthcare","All",2997,"http://www.reportbuyer.com/pharma_healthcare/therapeutic/global_protein_therapeutics_market.html","Published on 07-Dec-2006",348
"The Global Drug Delivery Market","Arrowhead","United States","Pharma &amp; Healthcare","All",0,"http://www.reportbuyer.com/pharma_healthcare/drug_delivery/global_drug_delivery_market.html","Published on 30-May-2006",233
"The Rheumatoid Arthritis Market","Arrowhead","United States","Pharma &amp; Healthcare","All",1494,"http://www.reportbuyer.com/pharma_healthcare/diseases/rheumatoid_arthritis_market.html","Published on 26-May-2009",125
"Lung Cancer Therapeutics Market Outlook and Pipeline Analysis ","Arrowhead","United States","Pharma &amp; Healthcare","All",1494,"http://www.reportbuyer.com/pharma_healthcare/diseases/cancer/lung_cancer_therapeutics_market_outlook_pipeline_analysis.html","Published on 30-Nov-2009",146
"Personalized Medicine 2010","Arrowhead","United States","Pharma &amp; Healthcare","All",2496,"http://www.reportbuyer.com/pharma_healthcare/therapeutic/vaccines/personalized_medicine_2010.html","Published on 05-May-2010",280
"Traumatic Brain Injury","Arrowhead","United States","Pharma &amp; Healthcare","All",1291,"http://www.reportbuyer.com/pharma_healthcare/research_r_d/pipeline/traumatic_brain_injury.html","Published on 25-Aug-2010",
"The Accelerated Trainer","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/training/accelerated_trainer.html","Published on 01-Apr-2004",140
"Accounting Irregularities in Financial Statements","Ashgate Publishing","United Kingdom","Business &amp; Government","All",0,"http://www.reportbuyer.com/business_government/accountancy/accounting_irregularities_financial_statements.html","Published on 01-Aug-2005",232
"Advanced Project Management","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/project/advanced_project_management.html","Published on 01-Jun-2004",332
"Addiction at Work","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/health_safety/addiction_work.html","Published on 01-Jun-2005",278
"Adverse Impact and Test Validation","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/hr/adverse_impact_test_validation.html","Published on 01-Aug-2008",220
"Age Matters","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/hr/age_matters.html","Published on 01-Oct-2006",360
"Assessment and Development Centres","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/training/assessment_development_centres.html","Published on 01-May-2004",234
"Audits for Organizational Effectiveness","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/productivity/audits_organizational_effectiveness.html","Published on 01-Aug-2004",368
"The Basel II Rating","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/finance/basel_ii_rating.html","Published on 01-Jul-2005",222
"Best Practice in Corporate Governance","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/corporate_governance/best_practice_corporate_governance.html","Published on 01-Jan-2006",182
"Benefit Realisation Management","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/productivity/benefit_realisation_management.html","Published on 05-May-2010",394
"Brand Planning for the Pharmaceutical Industry","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/marketing_sales/marketing/brand_planning_pharmaceutical_industry.html","Published on 01-Jul-2004",176
"Buying Information Systems","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/e_business/buying_information_systems.html","Published on 01-Mar-2004",144
"Buying Knowledge","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/knowledge/buying_knowledge.html","Published on 01-Mar-2005",176
"Business and Public Management in the UK 1900-2003","Ashgate Publishing","United Kingdom","Business Books","United Kingdom",0,"http://www.reportbuyer.com/business_books/management/business_public_management_uk_1900_2003.html","Published on 01-Aug-2005",282
"Capitalism, Social Privilege and Managerial Ideologies","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/capitalism_social_privilege_managerial_ideologies.html","Published on 01-Jan-2005",194
"Career Endeavour","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/career_development/career_endeavour.html","Published on 01-Aug-2006",176
"The Changing World of Oil: An Analysis of Corporate Change and Adaptation","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/international_business/changing_world_oil_analysis_corporate_change_adaptation.html","Published on 01-May-2006",230
"Competitive Intelligence","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/planning_strategy/competitive_intelligence.html","Published on 01-Oct-2005",304
"The Complete Guide to Business Risk Management","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/planning_strategy/complete_guide_business_risk_management.html","Published on 01-Aug-2005",348
"Constructive Engagement","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/hr/constructive_engagement.html","Published on 01-Oct-2005",300
"Corporate Social Performance: A Stakeholder Approach","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/productivity/corporate_social_performance_stakeholder_approach.html","Published on 01-Sep-2004",220
"Corporate Social Responsibility in the Mining Industries","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/industry_specific/corporate_social_responsibility_mining_industries.html","Published on 01-Aug-2005",324
"Credit Management Handbook","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/accounting/credit_control/credit_management_handbook.html","Published on 01-Jul-2004",582
"Data Protection in the Financial Services Industry","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/finance/data_protection_financial_services_industry.html","Published on 01-Feb-2006",242
"Deception at Work","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/deception_work.html","Published on 01-Nov-2004",480
"Developing and Managing a Successful Payment Cards Business","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/finance/developing_managing_successful_payment_cards_business.html","Published on 01-Nov-2005",214
"The Development of Corporate Governance in Japan and Britain","Ashgate Publishing","United Kingdom","Business Books","Japan",0,"http://www.reportbuyer.com/business_books/management/corporate_governance/development_corporate_governance_japan_britain.html","Published on 01-Feb-2004",216
"Employment Relations and HRM in South Korea","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/employee_relations/employment_relations_hrm_south_korea.html","Published on 01-Mar-2004",256
"Empowering SME Managers in Palestine","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/hr/empowering_sme_managers_palestine.html","Published on 01-Feb-2006",216
"Employment Contracts and Well-Being Among European Workers","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/hr/employment_contracts_well_being_among_european_workers.html","Published on 01-Dec-2005",254
"Ethical Boundaries of Capitalism","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/ethics/ethical_boundaries_capitalism.html","Published on 01-Jun-2005",272
"FDI and Industrial Organization in Developing Countries","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/international_business/international_trade/fdi_industrial_organization_developing_countries.html","Published on 01-Oct-2005",292
"Financial Games for Training","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/training/financial_games_training.html","Published on 01-Feb-2004",336
"Fraud and Corruption in Public Services","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/law_regulation/commercial/fraud_corruption_public_services.html","Published on 01-Jul-2004",282
"Games for Legendary Away Days","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/employee_relations/games_legendary_away_days.html","Published on 01-Nov-2004",176
"Gender and Communication at Work","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/employee_relations/gender_communication_work.html","Published on 01-Jul-2006",312
"Gower Handbook of Call and Contact Centre Management","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/gower_handbook_call_contact_centre_management.html","Published on 01-Nov-2004",368
"Gower Handbook of Programme Management","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/project/gower_handbook_programme_management.html","Published on 01-Oct-2006",738
"Great Negotiators","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/great_negotiators.html","Published on 01-Aug-2006",292
"Handbook of Corporate University Development","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/industry_specific/handbook_corporate_university_development.html","Published on 01-Jun-2005",306
